topic,item,derived,parent,repo_id,lot,level,course_refs,flashcard_refs,question_refs,questions_owned,coverage,version,finding
Messenger,Messenger component,False,,OIT-hs1297vvhr89,lot-11,STANDARD,CRS-5gezsra1sp01,FLC-7wbtaz9pzty2,QST-4s59dzkg2rff;QST-2vt07hzxfmvq,3,FULL,Symfony 8.0,
Messenger,Transports,False,,OIT-ckr67pq9npyb,lot-11,STANDARD,CRS-se1jr6cxh2n7,FLC-g0g67y6cwvv1,QST-tvzx2c0cqeh8;QST-7ay2hp5jexwb,3,FULL,Symfony 8.0,
Messenger,Messages and handlers,False,,OIT-9a8aa389vk48,lot-11,STANDARD,CRS-ckdp50w2dmy4,FLC-c1z191gbhw72,QST-mzsqzvya53dc;QST-sra8bgw85a7j,3,FULL,Symfony 8.0,
Messenger,Workers,False,,OIT-dctf03ftx44f,lot-11,STANDARD,CRS-e5astysks0ty,FLC-sh7aqjgp5mzt,QST-c0qzhz7ded47;QST-66bdw5shb7py,4,FULL,Symfony 8.0,
Messenger,Retries and failures,False,,OIT-76x1t7z916f4,lot-11,DEEP,CRS-hgkzgm1dh3my,FLC-7hfxx70j2rhg,QST-0v3j82n0d4m7;QST-9c3nh6jtp3px;QST-8vfdesj0zh4w,5,FULL,Symfony 8.0,
Messenger,Middleware,False,,OIT-amnpjdprky6z,lot-11,STANDARD,CRS-h9bfar3cxyet,FLC-c1cqrva0by96,QST-863psghen6px;QST-rpw04mwksvg4,3,FULL,Symfony 8.0,
Messenger,Events,False,,OIT-16at9vwzww43,lot-11,STANDARD,CRS-3pbkhqmw83b2,FLC-69qezsfk9bcg,QST-kwdxjwjwg4j4;QST-1wqesyz1sknh,3,FULL,Symfony 8.0,
Console,Console component,False,,OIT-481gmkgbksnr,lot-12,STANDARD,CRS-brn6frfqpxxj,FLC-1geh3bkk61mh,QST-s9dqp9mfqfrx;QST-zh43s7yzg7nr,3,FULL,Symfony 8.0,
Console,Built-in commands,False,,OIT-zgq6w4jqamvb,lot-12,MINIMAL,CRS-rk0fkn1q5byc,FLC-p7xbhq67h80a,QST-snpbvmx5e280;QST-wgvc9x0rjh0r,2,FULL,Symfony 8.0,
Console,Custom commands,False,,OIT-kbg00jqxxwhq,lot-12,STANDARD,CRS-cb51hcng9dh5,FLC-czhm5c0vv1sv,QST-gbzpgycr1r6g;QST-tvce4echjywq,3,FULL,Symfony 8.0,
Console,Configuration,False,,OIT-1hdmw4gm819r,lot-12,STANDARD,CRS-sf3701ncg2va,FLC-c51027n1sspw,QST-bw6j8k17fx9c;QST-y48awnf4nfnx,3,FULL,Symfony 8.0,
Console,Options and arguments (using PHP attributes),False,,OIT-nr9m883d15qq,lot-12,STANDARD,CRS-q2dxjhx6d35k,FLC-bdrpkzcqw1ww,QST-svybdxxreygm;QST-agnyym2anznf,4,FULL,Symfony 8.0,
Console,Input and Output objects,False,,OIT-65sswf0qhw6c,lot-12,STANDARD,CRS-0ab7kpexq9w9,FLC-vrr7nk2vcdkk,QST-tp80nqtxvarw;QST-5wrcd9ahhth2,3,FULL,Symfony 8.0,
Console,Built-in helpers,False,,OIT-v6wxp78gk42c,lot-12,STANDARD,CRS-3p9jdkw1nd3g,FLC-48na02d14yce,QST-8z5qhxdbyjf8;QST-h22aea8btw90,3,FULL,Symfony 8.0,
Console,Console events,False,,OIT-cqs3m73y3rpy,lot-12,STANDARD,CRS-y0zc67f3e5zk,FLC-hk7rkbxfq90j,QST-ycpqw0ygx9cd;QST-tmz33c01yx7r,4,FULL,Symfony 8.0,
Console,Verbosity levels,False,,OIT-dv5400dtksfg,lot-12,MINIMAL,CRS-96c85hjezj1r,FLC-sgp3dnzw3et3,QST-c01dkpwkp6qw;QST-fjgxe7fjzc8y,2,FULL,Symfony 8.0,
Automated Tests,Unit tests with PHPUnit,False,,OIT-c6wd3f444qjn,lot-13,STANDARD,CRS-tt9yn0a06ngb,FLC-8p0tpa6x1krf,QST-rsbg20z3fzdk;QST-vfkmqvxkehvn,3,FULL,Symfony 8.0,
Automated Tests,Functional tests with PHPUnit,False,,OIT-favt42nvgdqh,lot-13,STANDARD,CRS-1en96h22twv7,FLC-2g536z94cx54,QST-b4g2ascr897e;QST-9d4z5adb9sez,3,FULL,Symfony 8.0,
Automated Tests,Client object,False,,OIT-bc3brs4a4mtt,lot-13,STANDARD,CRS-k5wg55q2mg0p,FLC-pdapm9phgtmc,QST-qznc9nx72jdq;QST-b27q0jdvhz16,4,FULL,Symfony 8.0,
Automated Tests,Crawler object (CssSelector and DomCrawler components),False,,OIT-se21g2xv6h4r,lot-13,STANDARD,CRS-zg5jg6hqp2mj,FLC-0cvzxn60pazy,QST-k2pbvcnet7mh;QST-7v7dsbmdfdgt,3,FULL,Symfony 8.0,
Automated Tests,Profiler object (WebProfiler bundle),False,,OIT-t0qx5z264tyf,lot-13,MINIMAL,CRS-0x4v9jaz4cnq,FLC-57vzb0a87say,QST-vnr67m55bz2h;QST-dc8hsmx14h1s,2,FULL,Symfony 8.0,
Automated Tests,Framework objects access,False,,OIT-mtbcyaax2xsk,lot-13,STANDARD,CRS-g8v45328cg95,FLC-mkp9h3yfzm3x,QST-tc71xv48p476;QST-qa5pm7hv1d2a,4,FULL,Symfony 8.0,
Automated Tests,Client configuration,False,,OIT-bswvewkkkj1q,lot-13,STANDARD,CRS-4x4ec26c9bfc,FLC-31xxh9cs2ah8,QST-vtbv0rcpscbs;QST-0j3a50p7fbtn,3,FULL,Symfony 8.0,
Automated Tests,Request and response objects introspection,False,,OIT-bzkq4e7wks9a,lot-13,STANDARD,CRS-xkp7v8142jt1,FLC-80h962pnszqx,QST-m9kesqa3bb7j;QST-0y00gjhre739,3,FULL,Symfony 8.0,
Automated Tests,Handling legacy deprecated code,False,,OIT-vj24gwq6r1r4,lot-13,MINIMAL,CRS-fak8bf9014br,FLC-1qhdkw1e4nfy,QST-qspg3f4b1epq;QST-2b9q5n3vadem,2,FULL,Symfony 8.0,
Miscellaneous,Configuration (including DotEnv and ExpressionLanguage components),False,,OIT-tvc5rjv6qvse,lot-14,STANDARD,CRS-b7wpm5anh7c6,FLC-nb0mh2t8j7r9,QST-8h7ynmfznjpe;QST-bftzbt0t3q8y,3,FULL,Symfony 8.0,
Miscellaneous,Error handling,False,,OIT-kv7mbksn7m8v,lot-14,STANDARD,CRS-fppjrr6r23tk,FLC-63tca08n26r1,QST-3bbtms3dk9ca;QST-cs8r5jz7rb07,3,FULL,Symfony 8.0,
Miscellaneous,Code debugging,False,,OIT-xgrbftkj67ds,lot-14,STANDARD,CRS-wf523wdsg2xp,FLC-1f4raf4m8wng,QST-btrt51f6nnnv;QST-1er6x1ts9xk4,3,FULL,Symfony 8.0,
Miscellaneous,Deployment best practices,False,,OIT-6xqn9ybksrbr,lot-15,STANDARD,CRS-d0nvctfthnrp,FLC-k4xbtfdew9m4,QST-y14y2m9jfwmr;QST-xe2p2fcj5ays,3,FULL,Symfony 8.0,
Miscellaneous,"Web Profiler, Web Debug Toolbar and Data collectors",False,,OIT-d1qsxrtv25kk,lot-15,STANDARD,CRS-x8j99kkmpsng,FLC-q9dj4gjhz31d,QST-x86878b8vrmn;QST-ecx7f7257q6m,3,FULL,Symfony 8.0,
Miscellaneous,Internationalization and localization,False,,OIT-3dd7821h069b,lot-16,STANDARD,CRS-v1808qnchx6g,FLC-7ar3ewagp1y0,QST-qtng554v6wp6;QST-p0bkmxc5kxfs,3,FULL,Symfony 8.0,"wording: repo appends the PDF Note to the item label (additive, no loss)"
Miscellaneous,"HTTP Caching (reverse proxies, expiration, validation)",False,,OIT-zezwg9nya501,lot-17,STANDARD,CRS-1k0ce9dvdr99,FLC-tgvah1kzef9y,QST-713sjezq7b99;QST-a9rqdpxw13gm,3,FULL,Symfony 8.0,"wording: repo appends the PDF Note to the item label (additive, no loss)"
Miscellaneous,Cache,True,Components:,OIT-78k7kbfpgfxt,lot-18,STANDARD,CRS-p6yhxmpxrzbs,FLC-5ph49r9vszd1,QST-ch9mc2vedk60;QST-w6g2sgj7apm1,3,FULL,Symfony 8.0,
Miscellaneous,Clock,True,Components:,OIT-qpjnpc56hjj0,lot-19,STANDARD,CRS-6hcrc92xv6vt,FLC-bhhw8akr7mb5,QST-f2th6k9hk377;QST-39ytp7h11m85,3,FULL,Symfony 8.0,
Miscellaneous,EventDispatcher,True,Components:,OIT-s601ppsyb9f7,lot-20,STANDARD,CRS-wbgw87za3w5n,FLC-tz5z2qr23ew3,QST-xa6bq0yg86z5;QST-d95psbyzz9x4,3,FULL,Symfony 8.0,
Miscellaneous,Filesystem,True,Components:,OIT-tjn6kyvyc2h9,lot-21,STANDARD,CRS-h9nryezt8wnb,FLC-e2refpyf7ra0,QST-q1g70cf81t0a;QST-3xhbezx2h2e2,3,FULL,Symfony 8.0,
Miscellaneous,Finder,True,Components:,OIT-a1anzcv85my3,lot-21,STANDARD,CRS-jwhqec35jczn,FLC-zw88x7tcje1m,QST-9vdyrx07zz9j;QST-5a5z84vv3kvc,3,FULL,Symfony 8.0,
Miscellaneous,Event,True,Components:,OIT-8xcczyjyyanz,lot-20,STANDARD,CRS-fhb1cbhnyaxx,FLC-6eg8g2bt06nt,QST-dxvqjgxd3vyq;QST-99x1vnm3rtx4,3,FULL,Symfony 8.0,
Miscellaneous,Mailer,True,Components:,OIT-j4vpn5bh9f27,lot-22,STANDARD,CRS-h304h6ht87kc,FLC-xnqfscd5c1cy,QST-08dprb9gp7c9;QST-x1q4fk8g682j;QST-42tvpnq0tkt2,3,FULL,Symfony 8.0,
Miscellaneous,Mime,True,Components:,OIT-9xdjjsqcbn13,lot-22,STANDARD,CRS-82d40ncj59k9,FLC-x73mesgmmv9b,QST-7fsdtzgc219c;QST-mpsdvd7w472c;QST-4qhtngjnh5k3,3,FULL,Symfony 8.0,
Miscellaneous,Process,True,Components:,OIT-qkcr4bat6dsb,lot-23,STANDARD,CRS-am0qe9xa8vzk,FLC-1ppn91nts4vh,QST-qz4v99xfbh3t;QST-cayjxkrtsp55;QST-x7skxav0fpzg,3,FULL,Symfony 8.0,
Miscellaneous,PropertyAccess,True,Components:,OIT-43pt66xsft9f,lot-24,STANDARD,CRS-5vz7w1ny9shd,FLC-zggyac2jqrp5,QST-rx52h6xb2zvd;QST-rxnqtgnv8gnf;QST-jfzfmtt469xk,3,FULL,Symfony 8.0,
Miscellaneous,Runtime,True,Components:,OIT-r3qcmsehzex1,lot-25,STANDARD,CRS-pm5kj5kh3gt2,FLC-0p88y5fvnr6d,QST-rez80g9m6w88;QST-ymqf2vmf7842;QST-qvrh3419534q,3,FULL,Symfony 8.0,
Miscellaneous,Serializer,True,Components:,OIT-fr58jzaj6jtb,lot-26,STANDARD,CRS-3z96cp2s1dka,FLC-50daktpqmkv9,QST-jyjz9an9yt07;QST-xeygxgdd5586;QST-0a0tb3jj6h5v,3,FULL,Symfony 8.0,
